RespondantID,Sex,BD_Month,BD_Year,Race_Ethnicity,HGA_Dad,HGA_Mom,SampleType,ResponseParent_Income,NonResponseParent_Income,ResponseParent_Relation,Age,Region,FamilyIncome,HighestDegree,MaritalStatus,EmploymentStatus,YearIncome,Arrests_SLI,GeneralHealth,Depression,Breadwinner,Time1_Income
1643,1,11,1981,4,12,13,1,12000,15000,1,38,1,87000,4,0,1,87000,NA,4,1,1,27000
1644,2,3,1981,4,NA,14,1,4000,15000,2,38,1,210000,4,1,1,165000,NA,2,0,0,19000
1645,1,10,1981,4,16,NA,1,190777,20000,2,38,1,62282,4,1,1,37000,NA,2,0,1,210777
1646,1,4,1982,4,12,14,1,4000,90000,1,37,1,32000,2,1,1,24000,NA,1,0,1,94000
1655,1,4,1982,4,16,12,1,40000,24000,1,37,3,58000,4,0,1,50000,NA,3,0,0,64000
1656,1,5,1984,4,16,16,1,4945,32800,1,35,4,205000,5,1,1,328451,NA,1,0,1,37745
1659,1,12,1982,2,14,12,1,190777,22000,2,36,3,212920,2,1,1,60000,NA,3,0,1,212777
1671,2,3,1982,4,18,14,1,2000,130000,1,37,4,160300,4,1,0,NA,NA,2,0,1,132000
1672,2,12,1983,4,18,14,1,2000,130000,1,36,3,110000,4,1,0,NA,NA,1,0,1,132000
1674,2,6,1981,4,15,18,1,81000,92000,4,38,NA,NA,4,0,1,8500,NA,2,0,0,173000
1675,1,1,1984,4,15,18,1,81000,92000,4,35,3,60000,3,1,1,30000,NA,2,0,0,173000
1677,2,4,1982,4,16,18,1,10000,120000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,130000
1678,1,12,1983,4,NA,NA,1,190777,25000,2,36,2,467966,4,0,1,328451,NA,2,0,1,215777
1679,2,2,1982,4,16,12,1,60000,65000,3,37,3,81000,2,1,1,1000,NA,2,0,1,125000
1686,2,2,1982,4,17,17,1,10000,60000,1,37,3,137325,5,1,1,NA,NA,2,0,1,70000
1687,1,11,1980,4,16,18,1,50000,90000,1,38,3,165000,4,1,1,85000,NA,3,0,1,140000
1688,1,7,1983,4,16,18,1,50000,90000,1,36,3,36000,2,3,0,NA,1,1,1,1,140000
1700,1,8,1982,4,12,12,1,34000,62000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,96000
1701,1,5,1984,4,12,12,1,34000,62000,1,35,3,127000,2,0,1,52000,NA,1,0,1,96000
1713,2,12,1984,4,13,16,1,26000,40000,1,34,3,76000,4,1,1,41000,NA,3,2,1,66000
1720,1,10,1981,4,10,11,1,10000,30000,1,38,3,50000,2,0,1,50000,NA,4,0,1,40000
1734,1,7,1983,4,12,12,1,15267,24685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,39952
1735,1,3,1980,4,12,14,1,12000,24000,1,39,3,170100,2,1,1,100000,NA,1,0,1,36000
1736,2,7,1983,4,12,14,1,35000,13000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,48000
1739,2,10,1982,4,12,12,1,1500,38000,1,36,3,32000,2,2,0,NA,NA,5,3,1,39500
1745,2,5,1984,4,NA,12,1,100,600,1,35,3,0,3,3,0,NA,1,2,0,1,700
1746,1,10,1982,4,12,12,1,25000,24000,2,36,3,158200,3,1,1,135000,NA,3,0,1,49000
1747,2,9,1982,4,10,12,1,15000,20000,1,37,3,75000,1,3,1,33000,NA,2,0,1,35000
1752,2,6,1983,4,19,16,1,190777,24000,2,36,3,245000,4,1,1,145000,NA,2,0,1,214777
1756,2,10,1980,4,16,16,1,25000,75000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100000
1757,1,3,1983,4,16,16,1,25000,75000,1,37,3,226000,5,1,1,328451,NA,3,0,1,100000
1758,1,9,1981,4,15,20,1,190777,256094,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,446871
1772,2,7,1982,4,16,14,1,3800,1700,1,37,2,278467,4,1,1,8000,NA,2,0,0,5500
1773,2,12,1984,4,16,14,1,3800,1700,1,34,2,65000,5,1,1,65000,NA,2,0,0,5500
1774,2,5,1984,4,14,16,1,40000,20000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60000
1775,1,6,1980,4,12,12,1,7000,48000,1,39,2,130000,2,1,1,80000,NA,2,0,1,55000
1778,1,3,1983,4,12,13,1,190777,5000,2,36,2,172000,3,1,1,112000,NA,3,0,1,195777
1779,1,12,1984,4,12,13,1,190777,5000,2,34,2,NA,3,0,1,69000,NA,4,1,1,195777
1781,2,7,1983,2,15,16,1,70000,30000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100000
1785,2,7,1983,4,11,11,1,40000,26000,1,36,2,NA,1,2,0,NA,NA,4,0,0,66000
1786,2,9,1980,1,14,12,1,21000,14000,1,39,2,59000,4,3,1,59000,NA,3,0,0,35000
1787,1,8,1984,1,14,12,1,21000,14000,1,35,2,NA,0,0,1,NA,NA,4,0,0,35000
1804,2,4,1983,4,12,12,1,42000,18000,2,36,2,134000,3,0,1,59000,NA,3,0,1,60000
1808,1,3,1984,4,NA,13,1,30000,29000,1,35,2,77000,4,1,1,25000,NA,2,0,0,59000
1812,2,8,1983,4,13,20,1,43000,25000,1,36,2,60000,5,0,1,60000,NA,3,0,0,68000
1823,1,1,1984,4,16,12,1,19000,16000,1,35,2,47000,2,1,1,42000,NA,3,0,0,35000
1824,2,12,1982,4,18,16,1,60000,15000,1,36,2,100000,4,1,1,NA,NA,2,0,0,75000
1826,1,10,1981,4,16,16,1,30000,5000,1,38,2,73500,5,1,1,62000,NA,2,0,0,35000
1828,1,7,1983,4,16,12,1,190777,0,1,36,1,130000,4,0,1,130000,NA,3,0,0,190777
1830,1,11,1980,4,20,12,1,60000,40000,2,39,2,95000,5,1,1,70000,NA,2,0,1,100000
1831,1,9,1983,4,12,14,1,190777,256094,1,36,2,NA,4,1,1,10000,NA,2,0,1,446871
1833,2,10,1983,4,10,9,1,25000,32000,1,36,2,30000,2,0,1,30000,NA,1,0,1,57000
1834,1,12,1983,4,12,13,1,10000,80000,1,35,2,39537,3,0,1,39537,NA,3,1,1,90000
1837,2,3,1981,4,18,20,1,59000,65000,1,38,2,170000,4,1,1,53000,NA,2,0,1,124000
1838,1,5,1981,4,NA,NA,1,190777,43135,2,38,2,102000,2,0,1,52000,NA,3,3,1,233912
1840,2,11,1982,1,18,18,1,26909,24304,1,36,4,140800,4,0,1,70000,NA,2,0,0,51213
